Papel;Segmento;Cotação;FFO Yield;Dividend Yield;P/VP;Valor de Mercado;Liquidez;Qtd de imóveis;Preço do m2;Aluguel por m2;Cap Rate;Vacância Média
CXTL11;Logística;410;0,56%;0,81%;0,63;21.974.800;39.743;3;1.115,43;110,03;9,86%;65,15%
DEVA11;Títulos e Val. Mob.;103,99;1,82%;3,77%;1,04;1.000.910.000;5.984.010;0;0;0;0,00%;0,00%
DMAC11;Residencial;13;-27,30%;218,82%;1,21;2.029.400;39.705;0;0;0;0,00%;0,00%
DRIT11B;Lajes Corporativas;115;4,23%;2,27%;0,88;53.276.900;1.654;6;9.042,53;584,53;6,46%;5,61%
EDFO11B;Lajes Corporativas;255;8,09%;3,94%;1,19;60.180.000;25.190;1;169.850,00;15.927,09;9,38%;0,00%
EDGA11;Lajes Corporativas;26,29;5,09%;4,05%;0,33;100.219.000;75.242;1;3.981,95;367,95;9,24%;46,27%
ERCR11;Híbrido;79.700,05;-0,10%;0,00%;0,91;189.367.000;553.791;0;0;0;0,00%;0,00%
EURO11;Logística;205,4;5,38%;3,91%;0,72;78.860.500;81.665;7;666,27;50,86;7,63%;0,00%
EVBI11;Híbrido;99,99;1,53%;0,00%;1,02;108.235.000;12.627;2;0;0;3,76%;0,00%
FAED11;Outros;147,84;10,29%;5,78%;0,69;94.938.100;125.513;3;2.498,04;279,6;11,19%;0,00%
FAMB11B;Lajes Corporativas;1.189,91;31,22%;7,21%;0,34;124.703.000;83.019;1;2.010,08;840,03;41,79%;33,33%
FATN11;Híbrido;97,51;5,49%;2,82%;0,97;63.649.800;13.529;11;22.457,10;1.583,83;7,05%;0,00%
FCFL11;Outros;104,68;6,50%;3,61%;1,03;363.659.000;408.719;1;11.715,90;845,47;7,22%;0,00%
FEXC11;Títulos e Val. Mob.;89,75;3,28%;4,41%;0,97;547.790.000;936.536;0;0;0;0,00%;0,00%
FIGS11;Shoppings;61,9;2,88%;2,04%;0,66;176.415.000;354.286;2;2.730,53;99,99;3,66%;12,19%
FIIB11;Híbrido;472;6,47%;3,57%;1,07;323.320.000;474.933;11;574,31;43,29;7,54%;0,74%
FIIP11B;Híbrido;187,75;9,69%;2,93%;0,97;174.075.000;127.367;7;2.439,10;276,29;11,33%;0,00%
FLCR11;Títulos e Val. Mob.;100,97;6,14%;0,00%;1;50.485.000;122.646;0;0;0;0,00%;0,00%
FLMA11;Híbrido;137,5;3,55%;1,77%;0,88;189.842.000;228.937;1;10.775,50;533,47;4,95%;0,00%
FLRP11;Shoppings;1.290,57;4,01%;3,43%;0,78;84.186.500;14.276;1;1.938,51;53,14;2,74%;1,96%
FMOF11;Lajes Corporativas;67,21;1,51%;0,96%;0,51;34.143.200;5.182;2;2.023,79;174,95;8,64%;39,48%
FPAB11;Lajes Corporativas;250,05;8,40%;4,84%;0,56;187.538.000;22.049;2;4.107,24;430,09;10,47%;31,47%
FVPQ11;Shoppings;124,29;2,27%;0,85%;0,63;348.031.000;113.742;1;5.993,27;597,62;9,97%;5,32%
GALG11;Híbrido;104,26;4,27%;0,74%;0,99;585.215.000;1.771.060;6;1.050,43;29,22;2,78%;0,00%
GCFF11;Títulos e Val. Mob.;88,5;1,24%;5,05%;0,93;29.965.900;86.652;0;0;0;0,00%;0,00%
GCRI11;Títulos e Val. Mob.;100,69;-1,76%;0,00%;1;86.655.200;50.467;0;0;0;0,00%;0,00%
GGRC11;Logística;118,9;6,02%;3,86%;0,95;922.477.000;2.111.340;15;1.183,88;96,84;8,18%;0,00%
GTWR11;Lajes Corporativas;98,1;7,23%;4,72%;0,97;1.177.200.000;1.511.360;3;13.077,10;1.028,12;7,86%;0,00%
HAAA11;Lajes Corporativas;101,31;2,78%;0,00%;1,05;274.550.000;3.964;1;23.072,20;655,91;2,84%;0,00%
HABT11;Títulos e Val. Mob.;123,35;11,08%;6,59%;1,23;667.583.000;2.825.780;0;0;0;0,00%;0,00%
HBRH11;Híbrido;95,29;8,70%;4,76%;0,87;213.990.000;330.296;4;8.034,21;781,77;9,73%;0,00%
HCRI11;Hospital;401,96;8,43%;4,71%;1,33;80.392.000;78.550;1;14.567,00;1.296,18;8,90%;0,00%
HCTR11;Títulos e Val. Mob.;134,6;7,91%;7,84%;1,15;1.374.970.000;11.854.900;0;0;0;0,00%;0,00%
HFOF11;Títulos e Val. Mob.;93,6;6,61%;4,01%;0,98;2.016.800.000;3.167.060;0;0;0;0,00%;0,00%
HGBS11;Shoppings;198,58;4,36%;1,62%;0,9;1.985.800.000;1.959.450;12;3.823,78;93,65;2,45%;6,71%
HGCR11;Títulos e Val. Mob.;102,97;5,54%;3,55%;0,98;1.273.990.000;3.261.000;0;0;0;0,00%;0,00%
HGFF11;Títulos e Val. Mob.;80,01;4,88%;5,05%;0,84;229.116.000;588.557;0;0;0;0,00%;0,00%
HGIC11;Títulos e Val. Mob.;106,5;1,69%;0,00%;1,03;13.668.100;174.307;0;0;0;0,00%;0,00%
HGLG11;Logística;170,11;5,38%;4,02%;1,14;3.136.310.000;6.611.140;18;1.063,75;59,96;5,64%;5,24%
HGPO11;Lajes Corporativas;216,99;5,17%;2,98%;0,9;380.396.000;316.304;2;28.572,90;1.317,07;4,61%;0,00%
HGRE11;Lajes Corporativas;133;5,31%;3,55%;0,79;1.571.760.000;3.642.210;21;7.639,97;559,23;7,32%;23,42%
HGRU11;Híbrido;117;5,44%;3,94%;0,99;2.153.560.000;6.002.510;81;6.706,97;432,87;6,45%;0,00%
HLOG11;Logística;110,5;4,23%;3,95%;0,93;469.625.000;174.903;4;1.318,63;45,24;3,43%;4,22%
HOSI11;Híbrido;81,5;2,97%;3,25%;0,88;46.736.200;58.130;0;0;0;0,00%;0,00%
HPDP11;Shoppings;79,07;3,07%;2,34%;0,79;230.000.000;544.801;1;1.793,38;59,45;3,31%;3,25%
HRDF11;Híbrido;1,55;-4,53%;0,00%;0,93;11.760.000;43.757;0;0;0;0,00%;0,00%
HREC11;Títulos e Val. Mob.;100,45;4,13%;0,70%;1,02;118.179.000;1.794.150;0;0;0;0,00%;0,00%
HSAF11;Títulos e Val. Mob.;99,15;3,35%;2,01%;1,01;89.548.100;529.114;0;0;0;0,00%;0,00%
HSLG11;Logística;100,87;4,78%;0,86%;0,9;1.277.020.000;1.171.160;5;2.837,51;193;6,80%;4,57%
HSML11;Shoppings;85,16;5,12%;3,17%;0,87;1.343.880.000;2.554.290;6;8.489,34;424,94;5,01%;6,26%
HSRE11;Híbrido;97,4;3,88%;0,00%;1,01;829.659.000;345.747;27;8.083,39;580,47;7,18%;0,00%
HTMX11;Hotel;100,52;-3,40%;0,00%;0,77;126.356.000;227.569;23;53,02;0,02;0,04%;0,00%
HUSC11;Outros;124;5,57%;3,99%;0,95;98.532.000;6.717;1;1.339,08;98,2;7,33%;0,00%
IBFF11;Títulos e Val. Mob.;70,22;3,97%;4,05%;0,84;46.814.300;204.985;0;0;0;0,00%;0,00%
IFID11;Títulos e Val. Mob.;88,28;0,80%;0,00%;0,95;66.046.800;142.611;0;0;0;0,00%;0,00%
IFIE11;Títulos e Val. Mob.;85,8;2,96%;1,78%;0,98;77.262.400;67.466;0;0;0;0,00%;0,00%
