Papel;Segmento;Cotação;FFO Yield;Dividend Yield;P/VP;Valor de Mercado;Liquidez;Qtd de imóveis;Preço do m2;Aluguel por m2;Cap Rate;Vacância Média
URPR11;Outros;129,4;3,63%;7,65%;1,3;214.859.000;1.468.780;0;0;0;0,00%;0,00%
VCJR11;Títulos e Val. Mob.;94,5;3,52%;5,52%;0,95;1.096.570.000;847.578;0;0;0;0,00%;0,00%
VCRR11;Residencial;101,98;0,00%;0,00%;1,02;203.960.000;20.384;0;0;0;0,00%;0,00%
VGHF11;Híbrido;9,79;-2,85%;0,00%;1,01;161.250.000;596.693;0;0;0;0,00%;0,00%
VGIP11;Títulos e Val. Mob.;101,26;3,32%;6,00%;1,06;544.563.000;3.462.780;0;0;0;0,00%;0,00%
VGIR11;Títulos e Val. Mob.;88,57;3,53%;3,39%;0,92;399.133.000;1.024.240;0;0;0;0,00%;0,00%
VIFI11;Títulos e Val. Mob.;86,35;3,35%;4,93%;0,88;242.846.000;501.300;0;0;0;0,00%;0,00%
VILG11;Logística;113,08;3,57%;1,02%;0,99;1.695.910.000;4.838.310;13;3.418,46;152,11;4,45%;0,00%
VINO11;Lajes Corporativas;58,83;6,21%;4,28%;0,98;745.604.000;2.286.370;9;13.959,20;921,24;6,60%;0,00%
VISC11;Shoppings;106;3,01%;2,32%;0,89;1.512.730.000;2.913.280;15;2.775,71;110,68;3,99%;8,25%
VIUR11;Títulos e Val. Mob.;93,01;0,00%;0,00%;0,97;250.627.000;155.593;0;0;0;0,00%;0,00%
VLOL11;Lajes Corporativas;95;5,89%;3,20%;0,98;169.559.000;103.619;1;16.206,00;1.052,46;6,49%;0,04%
VOTS11;Títulos e Val. Mob.;80;-0,04%;2,77%;0,81;66.233.000;2.784;0;0;0;0,00%;0,00%
VRTA11;Títulos e Val. Mob.;106,88;6,84%;4,44%;1,06;1.068.800.000;2.428.970;0;0;0;0,00%;0,00%
VSEC11;Títulos e Val. Mob.;85,05;1,43%;2,56%;224,11;1.432.870.000;100.995;0;0;0;0,00%;0,00%
VSHO11;Shoppings;75,51;0,99%;0,86%;0,75;158.480.000;41.772;3;2.082,03;146,82;7,05%;7,84%
VSLH11;Outros;10,47;1,57%;0,00%;1,04;125.640.000;2.209.990;0;0;0;0,00%;0,00%
VTLT11;Logística;101,9;8,60%;4,79%;1;215.518.000;330.172;1;840,31;84,14;10,01%;0,00%
VVPR11;Lajes Corporativas;97,44;6,22%;4,00%;0,97;224.674.000;232.407;5;5.620,46;489,15;8,70%;0,00%
VXXV11;Outros;721,55;1,50%;0,00%;1,47;37.520.600;108.149;0;0;0;0,00%;0,00%
WPLZ11;Shoppings;60;-0,50%;0,00%;0,57;61.244.800;15.462;1;1.640,96;7,69;0,47%;9,42%
WTSP11B;Híbrido;46,06;6,66%;2,10%;0,58;45.717.500;6.217;1;3.750,59;360,24;9,60%;8,19%
XPCI11;Títulos e Val. Mob.;100;5,74%;4,32%;1,03;656.701.000;3.751.210;0;0;0;0,00%;0,00%
XPCM11;Lajes Corporativas;40,46;29,12%;15,13%;0,56;97.693.500;334.054;1;4.129,77;1.378,96;33,39%;100,00%
XPHT11;Hotel;85,68;0,26%;0,00%;0,99;325.982.000;35.626;11;13.311,80;101,29;0,76%;0,00%
XPIN11;Outros;99,82;8,04%;4,18%;0,9;657.471.000;1.291.740;92;2.410,14;213,3;8,85%;9,89%
XPLG11;Logística;109,79;5,40%;3,58%;0,99;2.975.430.000;6.327.430;15;1.868,97;147,42;7,89%;0,00%
XPML11;Shoppings;103,23;1,77%;2,32%;0,94;1.879.580.000;3.886.990;10;5.337,41;169,91;3,18%;5,43%
XPPR11;Outros;65,69;10,61%;6,50%;0,77;480.599.000;1.941.850;5;9.810,97;785,12;8,00%;46,51%
XPSF11;Títulos e Val. Mob.;91,9;1,76%;5,20%;0,96;397.947.000;1.676.900;0;0;0;0,00%;0,00%
XTED11;Lajes Corporativas;6,95;-8,70%;0,00%;0,5;12.869.100;12.223;1;1.699,44;0;0,00%;0,00%
