Papel;Cotação;P/L;P/VP;PSR;Div.Yield;P/Ativo;P/Cap.Giro;P/EBIT;P/Ativ Circ.Liq;EV/EBIT;EV/EBITDA;Mrg Ebit;Mrg. Líq.;Liq. Corr.;ROIC;ROE;Liq.2meses;Patrim. Líq;Dív.Brut/ Patrim.;Cresc. Rec.5a
LAME4;21,37;143,77;3,25;1,793;1,00%;0,914;2,45;26,2;-92,51;27,45;13,2;6,84%;0,81%;2,45;7,81%;2,26%;232.427.000,00;12.394.200.000,00;1,54;5,96%
POWE3;17,01;160,18;1,62;1,317;0,31%;1,053;1,98;35,89;2,69;19,99;18,35;3,67%;1,48%;3,53;6,66%;1,01%;4.186.540,00;941.377.000,00;0,04;0,00%
ARZZ3;95,42;181,18;6,93;5,542;0,85%;3,353;17,61;108,03;161,3;109,09;55,27;5,13%;3,06%;1,55;4,66%;3,83%;53.406.500,00;1.371.410.000,00;0,48;8,04%
ANIM3;14,3;193,76;2,26;3,853;0,00%;1,159;4,23;23,11;-10,73;24,05;14,69;16,67%;2,02%;3,76;6,73%;1,16%;30.712.700,00;2.560.160.000,00;0,57;10,58%
PETZ3;25,23;197,68;18,26;6,243;0,20%;5,092;55,84;70,74;-18,02;71;34,2;8,83%;3,16%;1,26;10,60%;9,24%;85.595.000,00;544.419.000,00;0,81;0,00%
RDOR3;71,4;207,95;10,31;9,291;0,39%;3,079;8,4;62,24;-12,74;66,69;47,75;14,93%;4,84%;5,33;7,21%;4,96%;196.219.000,00;13.916.300.000,00;1,72;13,72%
MGLU3;21,64;227;19,34;4,368;0,23%;6,22;37,52;159,58;-195,63;159,9;88,78;2,74%;1,92%;1,34;6,23%;8,52%;440.775.000,00;7.270.690.000,00;0,23;32,50%
STBP3;9,3;263,97;3,76;7,861;0,00%;1,859;9,67;85,29;-8,92;78,35;28,99;9,22%;2,98%;2,83;2,98%;1,43%;47.199.500,00;2.130.730.000,00;0,2;5,35%
SQIA3;25,88;344,17;4,56;7,952;0,08%;2,771;10,36;141,5;318,08;136,52;44,99;5,62%;2,30%;3;3,08%;1,32%;13.803.800,00;400.384.000,00;0,42;22,66%
CASH3;51,2;366,29;18,04;44,475;0,07%;16,232;26,48;271,99;26,82;262,21;244,98;16,35%;12,14%;12,23;14,64%;4,92%;138.634.000,00;358.922.000,00;0;0,00%
TFCO4;15,25;430,53;69,31;52,653;0,26%;39,203;75,58;301,94;123,52;301,66;283,09;17,44%;12,23%;3,23;19,60%;16,10%;1.740.970,00;208.870.000,00;0,35;0,00%
MILS3;8,95;620,37;2,04;4,222;0,26%;1,511;5,26;67,63;10,73;63,43;11,77;6,24%;0,68%;3,54;3,17%;0,33%;16.589.400,00;1.106.420.000,00;0,23;15,43%
OMGE3;37,26;665,84;2,01;5,716;0,00%;0,66;5,71;16,84;-1,34;28,72;16,88;33,94%;0,99%;3,14;4,55%;0,30%;24.796.200,00;3.641.900.000,00;1,82;47,62%
LWSA3;26,8;1.150,83;5,33;28,811;0,10%;4,026;6,68;377,75;8,23;323,09;130,4;7,63%;2,50%;5,57;2,84%;0,46%;202.731.000,00;2.942.120.000,00;0,05;34,25%
BIDI3;26,2;3.850,42;20,85;0;0,05%;0;0;0;0;0;0;0,00%;0,00%;0;0,00%;0,54%;20.061.800,00;3.240.140.000,00;0;30,91%
BIDI4;26,21;3.851,89;20,86;0;0,05%;0;0;0;0;0;0;0,00%;0,00%;0;0,00%;0,54%;150.165.000,00;3.240.140.000,00;0;30,91%
BIDI11;78,74;3.857,28;20,89;0;0,05%;0;0;0;0;0;0;0,00%;0,00%;0;0,00%;0,54%;306.696.000,00;3.240.140.000,00;0;30,91%
NTCO3;59,52;5.309,64;2,86;2,109;0,00%;1,325;29,98;33,35;-5,33;36,38;17,04;6,32%;0,01%;1,18;5,05%;0,05%;356.190.000,00;28.691.300.000,00;0,49;0,00%
