Papel;Cotação;P/L;P/VP;PSR;Div.Yield;P/Ativo;P/Cap.Giro;P/EBIT;P/Ativ Circ.Liq;EV/EBIT;EV/EBITDA;Mrg Ebit;Mrg. Líq.;Liq. Corr.;ROIC;ROE;Liq.2meses;Patrim. Líq;Dív.Brut/ Patrim.;Cresc. Rec.5a
BRPR3;9,11;21,81;0,61;13,996;2,16%;0,405;7,47;20,16;-1,62;28,34;28,23;69,42%;64,18%;2,44;2,17%;2,82%;17.460.600,00;7.285.270.000,00;0,36;-8,30%
BRGE11;10,08;21,96;0,6;37,794;3,61%;0,243;0,57;-1,85;1,22;2,1;2,11;-2046,02%;251,44%;3,4;-27,33%;2,72%;1.082,14;1.241.560.000,00;0;-6,20%
GMAT3;7,76;22,17;2,96;1,284;0,00%;2,096;3,69;18,62;4,89;17,93;14,59;6,90%;5,80%;4,96;16,25%;13,34%;34.567.000,00;5.799.800.000,00;0,2;0,00%
RPAD3;7,3;22,47;0,6;23.776,10;0,00%;0,596;50,44;-141,33;50,93;-138,09;-138,09;-16823,10%;105831,00%;5,25;-0,43%;2,66%;20.953,50;1.035.040.000,00;0;-37,72%
HBOR3;8,16;22,56;0,85;1,143;0,58%;0,251;0,48;55,95;1,84;104;59,68;2,04%;9,34%;3,41;0,51%;3,75%;15.564.800,00;1.290.370.000,00;1,07;16,44%
MRSA5B;40,29;22,93;3,12;3,517;1,70%;1,286;-41,25;12,81;-2,85;14,5;7,49;27,46%;15,33%;0,81;11,30%;13,61%;878,18;4.388.400.000,00;0,63;1,74%
MRSA5B;40,29;22,93;3,12;3,517;1,70%;1,286;-41,25;12,81;-2,85;14,5;7,49;27,46%;15,33%;0,81;11,30%;13,61%;878,18;4.388.400.000,00;0,63;1,74%
B3SA3;16,42;22,95;4,13;10,244;5,44%;2,178;13,63;16,47;-20,3;15,07;12,87;62,21%;44,62%;1,78;20,08%;18,00%;798.902.000,00;24.345.800.000,00;0,29;40,18%
TGMA3;25,99;23;2,66;1,775;2,04%;1,619;5,39;16,54;16,09;16,34;13,41;10,73%;7,70%;2,58;14,26%;11,57%;10.456.200,00;644.911.000,00;0,44;2,30%
MRSA3B;40,48;23,04;3,14;3,533;0,00%;1,292;-41,44;12,87;-2,86;14,56;7,52;27,46%;15,33%;0,81;11,30%;13,61%;962,91;4.388.400.000,00;0,63;1,74%
MRSA3B;40,48;23,04;3,14;3,533;0,00%;1,292;-41,44;12,87;-2,86;14,56;7,52;27,46%;15,33%;0,81;11,30%;13,61%;962,91;4.388.400.000,00;0,63;1,74%
CSRN6;52;23,45;6,1;3,003;3,59%;1,803;16,13;17,57;-3,85;20,7;16,96;17,10%;12,81%;1,9;11,60%;26,01%;23.788,80;1.433.000.000,00;1,31;11,03%
BRGE5;10,8;23,53;0,64;40,494;0,00%;0,26;0,61;-1,98;1,31;1,97;1,97;-2046,02%;251,44%;3,4;-27,33%;2,72%;325,89;1.241.560.000,00;0;-6,20%
MELK3;6,19;23,8;1,11;2,103;0,10%;0,701;1,17;19,18;1,29;10,19;9,7;10,96%;11,16%;3,1;5,91%;4,65%;4.398.300,00;1.161.880.000,00;0,06;0,00%
UGPA3;18,95;24,44;2,2;0,252;2,32%;0,564;2,3;12,09;-2,32;19,48;11,18;2,09%;1,07%;2;6,87%;9,02%;131.100.000,00;9.583.460.000,00;2,13;2,77%
BPAC11;31,46;24,76;3,96;0;0,91%;0;0;0;0;0;0;0,00%;0,00%;0;0,00%;15,98%;460.799.000,00;30.414.300.000,00;0;-1,17%
SCAR3;41,36;24,86;1,53;6,833;0,89%;0,801;8,68;10,79;-2,41;15,46;12,73;63,35%;27,95%;2,86;8,21%;6,16%;508.032,00;1.558.920.000,00;0,85;-9,71%
COCE3;87;25,14;2,05;1,128;2,43%;0,687;28,29;18,86;-1,81;26,29;13,61;5,98%;4,49%;1,09;4,25%;8,15%;5.504,16;3.307.650.000,00;0,92;9,35%
FLRY3;25,69;25,73;4,82;2,587;2,84%;1,483;14,61;14,1;-4,29;16,93;10,46;18,34%;10,05%;1,41;13,62%;18,72%;43.246.400,00;1.692.880.000,00;1,58;9,60%
MERC4;12,5;26,06;0,9;0;3,95%;0;0;0;0;0;0;0,00%;0,00%;0;0,00%;3,47%;19.154,30;248.946.000,00;0;-30,72%
LCAM3;27,76;26,87;3,21;2,356;1,31%;1,067;20,34;13,83;-2,49;18,1;11,96;17,04%;8,77%;1,28;10,71%;11,94%;72.615.000,00;4.402.100.000,00;1,44;71,59%
SOJA3;15,08;26,95;16,67;2,94;0,00%;3,94;31,29;18,74;-27.604,60;20,3;19,92;15,69%;10,91%;1,2;28,63%;61,85%;11.824.500,00;105.989.000,00;2;0,00%
